Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Garage,Balcony,Garden,Flooring_Type,Kitchen,Dining,Lift,Floor,Price
Rajpara,875,3,1,2022,No,2,Yes,Marble,1,1,Yes,10,3520013
Paba,1491,1,1,2007,No,0,Yes,Cement,2,1,No,1,4089520
Shah Makhdum,612,3,3,2019,No,1,No,Cement,1,1,No,7,1877120
Shah Makhdum,1626,2,1,2012,Yes,1,No,Tile,1,1,No,7,5647444
Shah Makhdum,1573,4,2,1996,No,1,No,Wood,2,1,Yes,6,5412341
Boalia,774,1,2,1999,No,2,No,Tile,1,1,Yes,6,2888553
Rajpara,2008,3,2,2005,No,1,No,Cement,2,1,No,3,8043507
Boalia,2225,5,2,2017,Yes,0,Yes,Tile,1,1,Yes,3,7052180
Paba,2543,2,2,2012,No,0,Yes,Cement,2,1,Yes,10,7051285
Boalia,2888,3,2,2007,Yes,0,Yes,Tile,2,1,Yes,9,10955962
Paba,1146,5,2,2012,Yes,0,Yes,Wood,1,1,Yes,1,3669313
Paba,2661,1,2,2009,Yes,1,Yes,Wood,2,1,Yes,7,7785854
Motihar,1818,1,2,2020,Yes,2,No,Marble,1,1,Yes,10,7224770
Shah Makhdum,2020,2,3,2003,No,2,No,Cement,1,1,Yes,7,6922333
Paba,2054,5,3,2012,No,2,No,Cement,1,1,Yes,8,6310301
Motihar,2033,4,2,1991,Yes,1,No,Tile,2,1,Yes,6,8271627
Shah Makhdum,602,1,2,2018,No,2,No,Marble,2,1,Yes,8,1828028
Paba,2442,4,2,1998,No,0,No,Wood,1,1,Yes,1,7270521
Paba,1346,4,1,2022,No,1,No,Tile,1,1,Yes,1,4101834
Boalia,1471,3,3,2001,Yes,2,No,Marble,2,1,Yes,9,5283552
Boalia,1094,3,2,2008,No,0,Yes,Wood,1,1,Yes,4,4201937
Shah Makhdum,2014,1,3,2009,No,0,No,Tile,1,1,Yes,3,6890691
Paba,1227,4,2,2020,No,1,No,Wood,2,1,No,6,3353583
Rajpara,1675,3,1,2010,Yes,1,No,Cement,1,1,Yes,10,6256638
Boalia,741,5,2,2002,Yes,2,No,Marble,2,1,No,9,2675009
Shah Makhdum,2087,5,3,2016,No,2,No,Wood,1,1,Yes,10,6331804
Paba,645,5,3,2014,No,2,No,Marble,2,1,Yes,4,1803020
Paba,2657,5,3,1991,No,1,Yes,Tile,1,1,Yes,9,8236674
Rajpara,1263,4,3,1997,No,2,No,Marble,1,1,Yes,5,5088803
Shah Makhdum,1172,5,2,2022,Yes,2,Yes,Tile,2,1,Yes,7,3979316
Paba,2629,4,1,2014,No,0,No,Marble,1,1,Yes,3,7602060
Boalia,2153,1,1,2010,No,0,Yes,Tile,2,1,Yes,3,7278846
Rajpara,2221,1,2,2002,Yes,0,No,Tile,1,1,Yes,3,8262994
Shah Makhdum,1512,5,2,1998,No,2,Yes,Tile,2,1,Yes,8,4985737
Rajpara,1239,5,3,1999,No,1,No,Wood,2,1,No,6,5163053
Boalia,1508,5,2,1994,Yes,0,Yes,Cement,2,1,Yes,9,4896323
Shah Makhdum,2825,1,1,2020,No,1,Yes,Marble,2,1,Yes,9,8595437
Rajpara,1468,3,2,2013,Yes,2,No,Cement,1,1,Yes,8,5465976
Motihar,1629,1,2,2021,No,2,Yes,Cement,1,1,Yes,1,6496834
Boalia,1452,5,1,1992,No,0,Yes,Cement,2,1,No,6,4786326
Boalia,906,3,1,2005,No,1,Yes,Cement,2,1,Yes,4,2950454
Boalia,2974,3,2,2009,No,0,No,Marble,2,1,Yes,4,9513517
Motihar,2416,2,3,2013,Yes,2,No,Marble,1,1,No,3,9789118
Motihar,994,4,3,2012,No,1,Yes,Cement,1,1,Yes,9,3493138
Paba,2947,5,3,1991,No,0,Yes,Marble,1,1,Yes,2,8009357
Rajpara,1348,4,1,1994,Yes,2,No,Marble,1,1,No,1,4922146
Paba,2932,2,1,2007,No,0,No,Tile,2,1,Yes,10,8561728
Rajpara,929,4,3,2018,No,1,No,Marble,2,1,Yes,3,3787832
Motihar,2697,5,2,1999,Yes,1,No,Wood,2,1,Yes,4,10039948
Motihar,2631,2,2,2005,No,1,No,Cement,1,1,Yes,4,9908633
Paba,1372,4,2,2012,No,1,No,Marble,1,1,Yes,6,4461172
Shah Makhdum,2245,1,1,2019,Yes,1,No,Cement,1,1,No,1,7556017
Paba,2332,3,1,1995,No,0,No,Marble,2,1,Yes,1,6773584
Rajpara,977,2,3,2009,Yes,0,No,Cement,2,1,No,2,3637812
Paba,2387,1,2,2005,Yes,0,No,Wood,1,1,No,4,7517864
Boalia,2223,5,1,2017,Yes,0,No,Marble,2,1,Yes,7,7894910
Rajpara,1599,3,1,2015,No,2,No,Marble,1,1,Yes,6,6987305
Rajpara,2448,2,3,2011,No,2,No,Wood,1,1,Yes,9,10591893
Shah Makhdum,2161,3,2,2000,Yes,0,No,Marble,2,1,No,7,7003220
Motihar,1373,2,1,1990,No,2,Yes,Cement,1,1,No,5,4768609
Rajpara,1683,2,1,1994,No,2,No,Wood,2,1,Yes,6,6100484
Motihar,2403,4,1,1991,Yes,1,No,Tile,1,1,Yes,10,9747806
Paba,1698,3,1,1995,No,0,No,Cement,2,1,Yes,9,5295765
Boalia,2650,3,2,2016,No,2,No,Marble,2,1,No,1,9386591
Shah Makhdum,2198,1,3,2015,No,2,Yes,Cement,2,1,Yes,9,7299364
Motihar,1347,5,2,2002,No,0,Yes,Wood,1,1,Yes,6,5159330
Rajpara,2071,1,3,2001,No,1,No,Marble,1,1,No,4,8413789
Motihar,2364,4,1,2007,No,0,No,Marble,2,1,Yes,5,8490721
Rajpara,2922,2,2,1995,No,1,No,Wood,2,1,Yes,1,11583987
Motihar,2153,4,3,2017,No,2,Yes,Tile,1,1,Yes,7,7381379
Rajpara,2215,4,3,2017,Yes,1,No,Marble,1,1,Yes,8,9158996
Paba,2862,1,1,2014,No,1,No,Marble,1,1,Yes,5,8298029
Rajpara,2108,2,3,1994,No,0,No,Marble,2,1,No,2,8695625
Rajpara,928,5,3,2004,Yes,2,No,Tile,1,1,Yes,8,4028605
Boalia,2902,4,3,1998,Yes,0,No,Cement,1,1,Yes,10,10343164
Rajpara,2010,5,1,1991,No,0,No,Tile,2,1,Yes,7,7763560
Boalia,725,2,2,1998,No,2,No,Cement,1,1,Yes,10,2388882
Shah Makhdum,1366,2,1,2015,No,0,Yes,Marble,1,1,Yes,9,4154133
Boalia,2173,1,3,2012,No,0,No,Cement,1,1,No,4,8346727
Paba,1827,3,3,2017,Yes,1,No,Cement,2,1,No,9,5607460
Boalia,1795,1,2,1995,No,0,No,Cement,2,1,Yes,4,6207795
Shah Makhdum,2358,5,3,1993,Yes,2,No,Cement,2,1,Yes,3,7139609
Paba,816,1,2,2019,No,0,No,Marble,2,1,Yes,3,2581685
Motihar,1959,2,3,2007,No,1,No,Wood,2,1,No,10,7276621
Motihar,1921,4,3,2019,No,0,No,Tile,2,1,Yes,2,7009452
Boalia,1431,3,1,2016,No,0,No,Cement,2,1,No,10,4730332
Boalia,781,2,1,2020,Yes,0,No,Marble,1,1,Yes,3,2561634
Shah Makhdum,933,4,2,2019,No,1,Yes,Marble,1,1,No,8,2850278
Shah Makhdum,1110,5,1,2001,No,2,No,Marble,2,1,No,8,3642364
Rajpara,982,5,2,2006,No,2,No,Marble,1,1,No,2,3723624
Shah Makhdum,2496,5,1,2017,Yes,1,Yes,Cement,1,1,Yes,2,7285282
Rajpara,931,1,2,1993,No,1,Yes,Tile,2,1,Yes,2,3619001
Paba,1788,5,3,2003,No,0,No,Marble,1,1,Yes,10,5455029
Boalia,1865,5,2,2002,Yes,2,No,Tile,1,1,No,7,5953364
Paba,1499,1,1,1992,Yes,1,No,Tile,1,1,Yes,6,4454391
Shah Makhdum,1241,4,2,2010,No,2,Yes,Tile,1,1,No,1,3615609
Paba,1850,2,1,2005,No,0,Yes,Wood,1,1,No,2,5847679
Paba,1233,3,3,2015,Yes,1,No,Marble,2,1,Yes,1,3974118
Paba,795,5,1,1995,Yes,2,Yes,Marble,2,1,No,7,2606236
Shah Makhdum,2493,5,3,2007,Yes,2,Yes,Marble,2,1,Yes,6,8282765
Paba,1057,5,3,1995,Yes,0,Yes,Tile,1,1,Yes,2,3254755
Rajpara,1429,1,1,2014,No,1,Yes,Marble,2,1,Yes,2,5937868
Shah Makhdum,2904,1,3,2013,No,2,Yes,Marble,1,1,Yes,2,9951934
Paba,2656,1,1,2019,No,0,No,Tile,1,1,No,8,8457383
Shah Makhdum,1824,3,2,2012,No,2,Yes,Marble,1,1,Yes,7,5765003
Motihar,1486,2,3,1997,Yes,0,No,Cement,1,1,Yes,1,5817416
Rajpara,992,5,2,1998,No,2,No,Wood,2,1,Yes,4,3699699
Paba,2275,4,2,1995,No,2,No,Cement,2,1,No,4,7091073
Motihar,2978,5,1,2022,No,0,No,Cement,1,1,Yes,7,11838698
Motihar,2781,5,1,2022,No,1,No,Cement,2,1,No,2,11204636
Shah Makhdum,1515,5,3,1996,Yes,0,No,Tile,1,1,Yes,4,5155992
Motihar,1534,5,1,2007,No,1,No,Marble,2,1,Yes,1,5759142
Rajpara,954,2,2,1995,Yes,2,No,Cement,2,1,Yes,4,4123964
Rajpara,2121,4,2,2010,No,2,No,Cement,1,1,Yes,1,9300076
Boalia,2937,1,2,2015,Yes,0,No,Marble,2,1,No,2,11262304
Rajpara,1228,4,3,2004,Yes,0,Yes,Tile,1,1,Yes,2,4996251
Motihar,1770,5,1,2019,No,1,No,Cement,2,1,No,10,6806016
Rajpara,926,4,2,2000,Yes,1,No,Marble,1,1,Yes,3,3672393
Shah Makhdum,2038,5,3,1997,No,1,No,Marble,1,1,Yes,8,6260467
Boalia,2857,4,1,1994,Yes,0,Yes,Wood,2,1,No,6,9667032
Motihar,2021,3,1,1997,No,2,No,Cement,2,1,No,6,7243206
Boalia,1726,4,2,1994,No,0,No,Cement,1,1,Yes,9,6591604
Motihar,2380,1,3,1999,No,2,Yes,Wood,2,1,Yes,8,9260742
Shah Makhdum,2131,1,2,2004,Yes,0,No,Marble,2,1,Yes,2,7411738
Boalia,2514,4,2,1992,Yes,0,No,Marble,1,1,Yes,6,8600363
Paba,1832,4,3,1999,Yes,1,No,Cement,1,1,No,1,5274175
Motihar,2556,2,2,1996,Yes,2,No,Cement,2,1,No,9,8999384
Paba,992,4,3,2013,No,0,No,Wood,1,1,Yes,4,2857106
Boalia,1425,1,3,2015,No,0,No,Cement,1,1,No,4,5376685
Paba,2512,3,2,1997,No,2,No,Cement,1,1,Yes,9,7660006
Paba,2995,1,2,1994,No,0,No,Tile,2,1,Yes,3,8899603
Boalia,649,2,1,2015,No,2,No,Wood,2,1,Yes,5,2302505
Shah Makhdum,1996,4,1,1999,No,1,No,Marble,1,1,Yes,1,6888836
Paba,1650,3,3,2022,Yes,1,No,Cement,2,1,Yes,6,4645894
Paba,1399,1,3,2020,No,2,Yes,Marble,1,1,Yes,3,4587874
Shah Makhdum,2392,3,3,2014,No,1,Yes,Cement,2,1,Yes,1,7908823
Paba,1963,5,1,2002,No,2,No,Tile,1,1,Yes,10,6307531
Paba,2948,1,2,1990,Yes,0,No,Wood,1,1,No,6,8888939
Paba,2165,5,2,2013,No,0,No,Wood,2,1,Yes,10,6152892
Rajpara,2813,3,1,2016,No,2,Yes,Marble,1,1,Yes,2,11403754
Shah Makhdum,2963,4,2,2007,No,0,No,Tile,2,1,No,8,8662275
Paba,600,4,2,2004,No,1,No,Marble,2,1,No,2,1926790
Shah Makhdum,1619,4,2,2006,Yes,0,No,Tile,1,1,No,4,5335787
Motihar,1884,5,1,2018,No,0,Yes,Cement,1,1,Yes,3,6848286
Motihar,662,4,3,1994,Yes,2,No,Cement,2,1,Yes,9,2402131
Paba,2469,2,2,2000,No,1,Yes,Tile,1,1,Yes,2,8003716
Shah Makhdum,2869,1,2,2005,Yes,0,Yes,Cement,1,1,Yes,3,9806759
Shah Makhdum,751,1,3,2006,No,0,No,Wood,1,1,No,7,2529660
Shah Makhdum,1243,3,2,2022,No,2,Yes,Tile,1,1,Yes,4,3909815
Rajpara,1225,5,2,2020,Yes,2,Yes,Tile,1,1,Yes,6,5265054
Motihar,816,1,3,2007,No,1,No,Marble,2,1,Yes,3,2943831
Shah Makhdum,795,5,1,2014,Yes,0,Yes,Tile,2,1,Yes,1,2301940
Shah Makhdum,1614,3,1,1994,No,2,No,Marble,1,1,No,6,5095354
Rajpara,2121,4,2,2019,No,2,Yes,Tile,1,1,Yes,4,9195850
Rajpara,2178,3,2,2012,No,2,No,Wood,1,1,Yes,2,8836105
Shah Makhdum,1680,2,3,2007,Yes,1,No,Wood,2,1,Yes,7,5085089
Boalia,2127,4,3,2021,No,2,Yes,Wood,1,1,Yes,10,7669057
Shah Makhdum,1321,4,2,2019,No,1,No,Marble,2,1,Yes,5,4434320
Shah Makhdum,2207,4,2,2018,Yes,1,No,Marble,2,1,Yes,6,7133501
Rajpara,2359,3,1,1998,No,0,Yes,Cement,2,1,Yes,6,10082550
Rajpara,2162,2,1,2012,Yes,0,No,Marble,1,1,No,9,8807767
Shah Makhdum,1239,5,1,1992,No,1,Yes,Marble,2,1,No,2,3644460
Shah Makhdum,2753,3,1,2011,Yes,0,Yes,Wood,1,1,No,6,9354993
Shah Makhdum,764,1,3,2020,No,0,Yes,Tile,2,1,No,9,2271882
Rajpara,814,1,1,2011,No,2,No,Marble,1,1,Yes,4,3505250
Shah Makhdum,1694,3,1,2000,Yes,0,No,Cement,2,1,Yes,6,5444483
Shah Makhdum,689,5,2,1992,Yes,1,No,Tile,1,1,Yes,7,2307043
Paba,2395,1,1,2003,Yes,0,No,Marble,2,1,No,1,7863400
Boalia,1851,5,2,2008,No,2,No,Tile,1,1,No,5,6390318
Motihar,1702,4,2,2020,Yes,1,No,Tile,1,1,No,4,6415499
Boalia,1207,3,1,2021,No,0,No,Tile,1,1,Yes,10,4499807
Paba,948,4,1,2015,Yes,1,No,Tile,1,1,No,2,2622303
Motihar,845,1,2,1990,Yes,0,Yes,Tile,2,1,Yes,2,2907688
Shah Makhdum,871,5,3,1991,No,2,No,Marble,2,1,Yes,2,2845350
Paba,2630,4,2,1995,Yes,0,No,Tile,1,1,Yes,7,7365346
Shah Makhdum,1002,1,3,2003,No,1,No,Tile,2,1,Yes,4,3049759
Rajpara,2065,2,3,2017,No,1,No,Cement,1,1,Yes,6,9046814
Paba,1795,4,1,2022,No,1,No,Cement,1,1,Yes,7,5549940
Rajpara,1679,2,1,2014,No,0,No,Tile,2,1,Yes,9,7193860
Paba,2214,2,1,2007,No,0,No,Marble,1,1,Yes,2,7170425
Paba,1726,1,1,2001,Yes,0,No,Cement,1,1,No,10,4785870
Rajpara,883,3,2,2016,Yes,2,Yes,Cement,2,1,Yes,9,3834182
Motihar,1116,5,3,2013,Yes,2,No,Tile,1,1,Yes,5,4551666
Boalia,1901,1,2,2022,No,2,No,Marble,1,1,No,6,6048487
Shah Makhdum,1211,4,3,2004,Yes,1,No,Wood,1,1,No,6,4245054
Paba,1349,5,2,2021,No,1,No,Marble,1,1,Yes,3,4013261
Shah Makhdum,1892,3,3,2006,No,1,No,Cement,2,1,Yes,10,6628948
Rajpara,2456,1,1,2002,No,1,Yes,Cement,2,1,Yes,7,10460309
Shah Makhdum,999,3,3,1998,No,1,No,Cement,2,1,Yes,7,3158524
Rajpara,2126,4,1,1999,Yes,0,No,Cement,1,1,Yes,8,8523656
Shah Makhdum,2624,1,3,1990,No,1,No,Cement,1,1,No,5,8019107
Boalia,2733,4,2,2014,No,0,No,Tile,2,1,Yes,2,9540476
Boalia,919,5,3,2011,Yes,2,Yes,Tile,1,1,No,3,2963999
Boalia,1655,5,2,1999,Yes,2,No,Tile,1,1,No,9,6265903
Boalia,935,3,2,2015,No,2,No,Cement,1,1,No,6,3412047
Boalia,2698,3,1,2008,No,2,No,Tile,1,1,Yes,8,10019413
Boalia,773,5,3,1993,No,2,No,Cement,2,1,No,8,2722340
Rajpara,2241,2,2,1994,No,1,No,Marble,2,1,Yes,5,8292836
Paba,1100,5,3,2018,No,1,No,Wood,2,1,Yes,1,3324581
Shah Makhdum,2723,1,1,1994,No,1,No,Marble,1,1,Yes,6,8415954
Boalia,2963,4,1,1990,No,2,No,Wood,2,1,Yes,7,9354410
Rajpara,2456,5,3,2017,Yes,2,No,Tile,2,1,No,9,10050022
Rajpara,2496,5,2,2008,No,0,No,Wood,1,1,Yes,2,10690166
Rajpara,2263,4,2,1990,No,1,No,Marble,1,1,Yes,2,9433183
Paba,2318,4,2,2018,No,2,Yes,Marble,2,1,Yes,10,6569488
Shah Makhdum,2378,1,3,2021,No,2,No,Wood,2,1,Yes,1,8095295
Paba,1296,4,2,2003,No,2,Yes,Marble,2,1,Yes,5,3739866
Motihar,1331,3,2,2021,No,0,Yes,Tile,2,1,No,2,4773031
Rajpara,1694,5,2,1998,No,2,No,Marble,1,1,Yes,3,7400939
Motihar,1251,4,1,2008,No,0,No,Wood,2,1,Yes,2,4294199
Boalia,1694,1,2,2000,No,0,No,Tile,2,1,Yes,4,5534803
Boalia,645,4,3,1993,Yes,1,Yes,Wood,1,1,Yes,3,2242600
Paba,1670,5,3,2014,No,2,No,Cement,2,1,Yes,9,4676403
Shah Makhdum,2045,2,2,2006,Yes,0,No,Cement,1,1,Yes,10,6107998
Motihar,2796,4,3,1997,Yes,2,No,Tile,1,1,No,2,10910284
Shah Makhdum,1055,3,3,1990,No,1,No,Tile,1,1,Yes,7,3591409
Paba,2262,5,2,1991,No,1,No,Marble,2,1,Yes,3,7005347
Boalia,1565,1,1,1999,No,0,Yes,Wood,2,1,Yes,10,5040890
Shah Makhdum,2620,5,2,2016,No,1,No,Cement,1,1,No,8,9046970
Shah Makhdum,1468,2,3,2016,No,1,No,Marble,2,1,Yes,4,5094780
Boalia,2128,1,3,2002,No,1,No,Cement,2,1,Yes,4,7121781
Motihar,1600,2,2,2000,No,2,Yes,Marble,1,1,No,9,6144584
Boalia,1373,2,3,2003,Yes,2,No,Marble,1,1,Yes,3,4791310
Shah Makhdum,2891,3,1,2021,Yes,0,No,Cement,2,1,Yes,7,9562456
Motihar,1726,4,2,2005,Yes,0,Yes,Marble,1,1,Yes,1,7185750
Motihar,1660,3,3,2018,No,1,No,Cement,2,1,Yes,7,6921617
Boalia,2277,3,1,2015,Yes,1,No,Tile,2,1,Yes,10,7984075
Shah Makhdum,2143,3,3,1994,Yes,0,No,Wood,2,1,Yes,2,6297950
Paba,996,1,1,2008,Yes,1,No,Marble,2,1,Yes,6,2889080
Shah Makhdum,2943,4,3,2017,No,0,Yes,Cement,1,1,Yes,9,9254800
Rajpara,706,4,2,2017,Yes,2,No,Cement,1,1,Yes,6,2843560
Paba,1553,1,3,2006,No,1,No,Wood,1,1,No,3,5087973
Motihar,2448,3,2,2008,Yes,1,No,Wood,1,1,No,1,8860382
Paba,1533,3,1,2016,No,1,No,Wood,2,1,No,4,4632745
Motihar,887,2,1,2001,Yes,2,Yes,Marble,2,1,Yes,4,3229741
Motihar,1305,2,3,1992,Yes,2,No,Cement,1,1,Yes,8,5375022
Paba,2643,5,2,1993,No,1,No,Marble,2,1,Yes,10,8705974
Motihar,2084,2,2,2000,Yes,0,Yes,Marble,2,1,Yes,10,8506391
Motihar,814,4,1,2007,Yes,2,No,Tile,2,1,No,7,2993440
Rajpara,1904,1,1,2007,Yes,1,No,Wood,1,1,Yes,10,7277672
Shah Makhdum,2577,3,3,1995,Yes,1,No,Tile,1,1,Yes,7,8132881
Shah Makhdum,2082,5,1,2022,Yes,2,No,Tile,1,1,Yes,7,6992290
Rajpara,2424,2,1,1997,Yes,0,No,Marble,2,1,Yes,2,8744464
Paba,943,5,2,2009,No,1,No,Marble,1,1,Yes,9,3109133
Boalia,793,1,2,2009,No,0,Yes,Cement,1,1,Yes,6,2988331
Boalia,757,1,2,2007,No,0,No,Tile,1,1,Yes,2,2397169
Boalia,1064,5,1,2016,Yes,2,Yes,Wood,1,1,No,1,3636188
Rajpara,2751,5,3,1994,No,1,No,Tile,1,1,Yes,1,11417385
Rajpara,2681,5,3,1996,Yes,1,Yes,Cement,1,1,No,1,10169367
Motihar,2349,3,1,2011,Yes,0,Yes,Tile,2,1,No,4,8288581
Boalia,2972,4,3,2002,No,2,Yes,Tile,2,1,Yes,4,10671034
Paba,1191,2,1,2021,Yes,2,No,Tile,1,1,No,9,3861359
Paba,2788,2,3,2013,Yes,2,No,Cement,1,1,Yes,1,9126116
Boalia,1654,2,1,2005,No,0,No,Tile,2,1,No,3,5221982
Boalia,1483,5,2,2003,No,0,Yes,Marble,2,1,Yes,3,5579224
Boalia,662,5,3,1996,No,1,No,Tile,1,1,Yes,8,2345159
Rajpara,1710,5,2,2001,No,2,No,Marble,1,1,Yes,2,6481179
Rajpara,903,3,2,2009,No,0,No,Tile,1,1,Yes,6,3696480
Rajpara,1684,3,3,2022,Yes,2,No,Marble,1,1,No,4,7403926
Shah Makhdum,995,3,1,1995,Yes,0,No,Tile,2,1,Yes,10,3041466
Paba,933,3,2,2016,Yes,1,No,Wood,1,1,Yes,6,2674102
Paba,1010,1,2,2002,No,2,Yes,Marble,1,1,Yes,5,3150559
Motihar,2931,3,1,1994,No,0,Yes,Wood,1,1,No,9,10120267
Rajpara,1065,3,1,2013,No,2,No,Marble,1,1,Yes,9,4533106
Shah Makhdum,679,3,3,1999,No,0,No,Tile,2,1,Yes,1,2239082
Shah Makhdum,1700,2,3,2021,No,0,Yes,Cement,2,1,Yes,3,5811216
Paba,2577,2,1,1998,Yes,0,No,Tile,2,1,No,1,7314670
Rajpara,1332,2,2,2001,No,2,No,Cement,1,1,Yes,6,5697965
Motihar,2417,4,1,2000,No,0,No,Wood,1,1,Yes,3,9090207
Rajpara,2163,1,3,1997,No,1,No,Cement,2,1,Yes,1,8016462
Boalia,1984,5,2,1999,Yes,2,Yes,Cement,1,1,No,6,7501495
Rajpara,2724,3,2,2003,No,1,No,Cement,1,1,Yes,5,11342764
Boalia,1787,2,3,2019,Yes,1,Yes,Cement,2,1,Yes,8,5839557
Boalia,1798,1,2,1990,Yes,2,No,Wood,2,1,Yes,2,5973951
Motihar,2211,3,1,2001,Yes,0,Yes,Cement,2,1,No,8,8013407
Paba,2892,4,3,1994,No,1,No,Tile,2,1,No,5,9479977
Rajpara,721,5,2,2003,No,2,No,Marble,1,1,Yes,8,3106746
Boalia,784,3,3,2006,Yes,0,No,Marble,1,1,Yes,10,2659674
Rajpara,631,5,2,2011,Yes,2,Yes,Tile,2,1,Yes,4,2507158
Paba,1597,3,1,2020,No,2,Yes,Wood,1,1,Yes,4,4585255
Paba,2586,4,3,2015,Yes,2,Yes,Tile,2,1,Yes,10,8134493
Shah Makhdum,1168,1,2,2002,Yes,0,No,Tile,2,1,Yes,4,3484347
Paba,2957,5,1,1992,No,1,No,Cement,1,1,Yes,6,8584669
Motihar,1995,5,1,2000,No,1,No,Cement,2,1,No,4,7741875
Boalia,2279,1,1,1994,Yes,2,Yes,Wood,1,1,Yes,9,8578477
Shah Makhdum,1429,5,2,1993,Yes,2,Yes,Wood,1,1,Yes,9,4696768
Motihar,2219,2,2,2021,Yes,0,Yes,Marble,1,1,Yes,3,9173772
Rajpara,1679,1,1,1999,No,2,No,Wood,1,1,Yes,7,7294663
Boalia,1390,4,1,1999,No,2,No,Tile,2,1,Yes,5,5077405
Paba,1593,3,1,2007,No,2,No,Marble,1,1,Yes,9,4567483
Boalia,677,3,1,2012,Yes,1,No,Marble,2,1,Yes,2,2456261
Rajpara,707,1,1,2007,No,2,Yes,Cement,2,1,No,3,2654212
Shah Makhdum,1896,2,2,1992,Yes,1,Yes,Cement,2,1,No,10,5864803
Shah Makhdum,2662,4,3,1990,No,0,No,Marble,2,1,Yes,5,8957778
Shah Makhdum,969,3,3,2006,No,0,No,Cement,1,1,Yes,5,3318247
Paba,2852,3,3,1995,No,1,No,Cement,1,1,Yes,10,8413574
Motihar,2604,2,2,2000,No,1,Yes,Cement,2,1,Yes,7,9941582
Motihar,2303,5,3,2003,No,1,Yes,Marble,2,1,Yes,8,8552100
Boalia,1040,1,3,2017,Yes,1,Yes,Marble,1,1,No,8,3624930
Paba,826,2,3,2000,No,2,Yes,Marble,2,1,No,1,2484188
Shah Makhdum,1222,2,3,1993,Yes,1,Yes,Tile,1,1,No,1,4060429
Shah Makhdum,1624,2,1,1995,No,1,No,Marble,2,1,Yes,3,5457185
Rajpara,2176,2,2,2008,Yes,1,Yes,Cement,1,1,No,1,9530908
Rajpara,2243,5,3,2020,Yes,2,Yes,Marble,2,1,No,1,8860121
Shah Makhdum,1784,4,1,1991,No,2,No,Tile,2,1,Yes,10,5232845
Shah Makhdum,760,2,3,2014,Yes,2,No,Cement,1,1,Yes,8,2523524
Paba,1470,2,3,2000,No,0,No,Wood,2,1,No,1,4408478
Motihar,2345,1,3,2010,No,2,No,Marble,2,1,Yes,9,9518769
Rajpara,1774,3,3,1992,Yes,1,No,Marble,1,1,Yes,2,6594375
Motihar,1043,5,3,1991,Yes,2,Yes,Wood,2,1,Yes,9,4078270
Paba,2390,2,1,2000,No,2,No,Cement,1,1,Yes,7,7111576
Shah Makhdum,2094,4,3,2013,Yes,1,Yes,Marble,1,1,Yes,9,6592653
Motihar,1062,4,1,2013,No,2,Yes,Tile,2,1,No,3,4087954
Shah Makhdum,1072,4,3,2010,No,0,No,Cement,2,1,Yes,1,3556764
Shah Makhdum,679,1,2,2014,No,2,No,Marble,2,1,Yes,1,2325299
Boalia,1662,4,1,1993,No,0,No,Cement,2,1,Yes,10,5508828
Motihar,839,1,3,2012,No,0,No,Marble,2,1,Yes,6,3056268
Motihar,1156,5,1,2013,No,0,No,Wood,2,1,Yes,7,4435481
Shah Makhdum,1189,4,3,2010,Yes,1,No,Marble,2,1,Yes,9,3688036
Paba,1960,3,3,1991,Yes,2,No,Cement,1,1,Yes,6,5960373
Boalia,2484,2,1,2012,No,0,No,Marble,2,1,Yes,5,8172622
Shah Makhdum,2575,5,3,2004,No,0,No,Marble,1,1,Yes,2,7923003
Rajpara,1903,3,3,2015,No,2,Yes,Cement,2,1,Yes,2,7345339
Rajpara,1739,5,3,2015,No,1,No,Marble,2,1,Yes,8,7640916
Boalia,2916,4,3,2017,No,1,No,Marble,1,1,Yes,1,10929295
Paba,2539,5,3,2015,No,0,Yes,Cement,2,1,No,8,8131453
Shah Makhdum,934,5,3,1991,No,1,No,Wood,2,1,Yes,10,2996911
Motihar,911,5,1,2021,Yes,2,No,Tile,1,1,Yes,7,3438846
Boalia,1676,1,2,2019,No,1,Yes,Tile,2,1,Yes,7,5361671
Paba,633,3,3,2009,Yes,2,Yes,Tile,2,1,Yes,5,1784044
Motihar,2441,4,1,2002,No,0,No,Tile,2,1,No,3,10009231
Rajpara,985,2,2,2016,No,2,No,Tile,1,1,Yes,7,3960205
Rajpara,848,4,1,2012,No,0,No,Tile,2,1,Yes,7,3722678
Motihar,1734,4,2,2005,Yes,2,Yes,Cement,2,1,Yes,7,6710161
Boalia,2033,1,2,2020,Yes,2,Yes,Cement,2,1,Yes,2,6941151
Rajpara,1802,1,2,2001,No,1,No,Cement,2,1,No,3,6882356
Shah Makhdum,1393,5,1,2022,Yes,2,No,Marble,1,1,Yes,3,4830576
Motihar,1451,4,2,2021,No,0,No,Wood,1,1,Yes,4,5371248
Motihar,975,3,3,1991,Yes,2,No,Wood,2,1,Yes,9,3442790
Rajpara,1323,1,3,2012,Yes,0,No,Tile,2,1,Yes,10,5057309
Boalia,2210,1,2,2021,Yes,0,Yes,Tile,1,1,No,1,7960279
Shah Makhdum,2513,3,2,2004,No,2,Yes,Cement,1,1,Yes,7,7451363
Boalia,801,1,3,1997,No,1,No,Wood,2,1,Yes,7,2574491
